path	category	language	size_bytes	line_count	imports	symbols
MacTalk/MacTalk.xcodeproj/project.xcworkspace/contents.xcworkspacedata	Xcode	Unknown	83	4		
MacTalk/MacTalk.xcodeproj/xcshareddata/xcschemes/MacTalk.xcscheme	Xcode	Unknown	3266	88		
MacTalk/MacTalkTests/AudioMixerTests.swift	Tests	Swift	16696	524	AVFoundation,XCTest	class:AudioMixerTests,func:testConvert16kHzMonoToTarget,func:testConvert48kHzMonoTo16kHz,func:testConvert48kHzStereoTo16kHzMono,func:testConvert44_1kHzTo16kHz,func:testMultipleConversionsWithSameFormat,func:testConversionsWithDifferentFormats,func:testSampleValuesPreserved,func:testSampleRangePreserved,func:testEmptyBuffer,func:testVerySmallBuffer,func:testVeryLargeBuffer,func:test_concurrentConversionDifferentFormats,func:makeBuffer,func:test_concurrentConversionSameFormat,func:makeBuffer,func:test_concurrentMicAndAppAudioSimulation,func:makeBuffer,func:testPerformanceConversion48kHzTo16kHz,func:testPerformanceMultipleSmallConversions,func:createTestBuffer,func:createTestBufferWithValue,func:createTestBufferWithValues,actor:ResultsCollector,func:addMicResult,func:addAppResult,func:getResults
MacTalk/MacTalkTests/SettingsWindowControllerTests.swift	Tests	Swift	14164	421	XCTest	class:SettingsWindowControllerTests,func:testInitialization,func:testWindowSize,func:testWindowStyle,func:testTabViewExists,func:testNumberOfTabs,func:testTabLabels,func:testGeneralSettingsPersistence,func:testOutputSettingsPersistence,func:testAudioSettingsPersistence,func:testAdvancedSettingsPersistence,func:testSilenceThresholdDefaultValue,func:testBeamSizeDefaultValue,func:testModelIndexDefaultValue,func:testSilenceThresholdRange,func:testBeamSizeRange,func:testAllSettingsKeys,func:testShowWindow,func:testWindowClose,func:testCompleteWorkflow,func:testSettingsPersistAcrossInstances,func:testInvalidSettingsValues,func:testMultipleWindowInstances,func:testSettingsLoadPerformance,func:testSettingsSavePerformance
MacTalk/MacTalkTests/ParakeetEngineTests.swift	Tests	Swift	943	34	XCTest	class:ParakeetEngineTests,func:test_providerIsParakeet,func:test_prepareFailsWhenModelsMissing
MacTalk/MacTalkTests/ModelManagerTests.swift	Tests	Swift	9449	295	XCTest	class:ModelManagerTests,func:testModelsDirectoryPath,func:testEnsureModelDownloaded,func:testModelExists,func:testModelDoesNotExist,func:testValidModelNames,func:testModelNameWithoutExtension,func:testREADMECreation,func:testModelSize,func:testModelSizeNonexistent,func:testDeleteModel,func:testDeleteNonexistentModel,func:testListAvailableModelsEmpty,func:testListAvailableModelsWithFiles,func:testListAvailableModelsFiltersExtensions,func:testModelsDirectoryCreation,func:testEmptyModelName,func:testModelNameWithSpecialCharacters,func:testModelNameWithPath,func:testOpenModelsDirectoryPath
MacTalk/MacTalkTests/SettingsIntegrationTests.swift	Tests	Swift	6740	190	XCTest	class:SettingsIntegrationTests,func:testAutoPasteSetting_DefaultsToFalse,func:testAutoPasteSetting_LoadsFromUserDefaults,func:testAutoPasteSetting_SyncsBetweenMenuAndSettings,func:testCopyToClipboardSetting_DefaultsToTrue,func:testCopyToClipboardSetting_LoadsFromUserDefaults,func:testShowNotificationsSetting_LoadsFromUserDefaults,func:testLanguageSetting_DefaultsToEnglish,func:testLanguageSetting_LoadsFromUserDefaults,func:testModelSetting_DefaultsToLargev3Turbo,func:testModelSetting_LoadsFromUserDefaults,func:testDefaultModeSetting_LoadsFromUserDefaults
MacTalk/MacTalkTests/HUDWindowControllerTests.swift	Tests	Swift	17502	564	XCTest	class:HUDWindowControllerTests,func:testInitialization,func:testWindowType,func:testWindowLevel,func:testWindowStyle,func:testWindowBehavior,func:testWindowSize,func:testUpdatePartial,func:testUpdatePartialEmpty,func:testUpdatePartialLong,func:testUpdatePartialSpecialCharacters,func:testMultiplePartialUpdates,func:testPartialThrottlesIdenticalUpdates,func:testUpdateFinal,func:testUpdateFinalEmpty,func:testUpdateFinalLong,func:testPartialToFinalTransition,func:testUpdateText,func:testUpdateTextEmpty,func:testUpdateTextLong,func:testUpdateTextSpecialCharacters,func:testMultipleTextUpdates,func:testResetClearsTranscriptState,func:testShowWindowResetsState,func:testUpdateMicLevel,func:testUpdateMicLevelSilence,func:testUpdateMicLevelMaximum,func:testUpdateMicLevelInvalidValues,func:testUpdateAppLevel,func:testUpdateAppLevelSilence,func:testUpdateAppLevelMaximum,func:testMultipleLevelUpdates,func:testSetAppMeterVisible,func:testSetAppMeterHidden,func:testToggleAppMeterVisibility,func:testShowWindow,func:testCloseWindow,func:testShowHideMultipleTimes,func:testWindowPositioning,func:testCompleteTranscriptionFlow,func:testMicOnlyFlow,func:testMicPlusAppFlow,func:testConcurrentUpdates,func:testConcurrentStreamingUpdates,func:testMemoryLeakOnMultipleCreations,func:testRapidShowHide,func:testUpdateWhileHidden,func:testUpdateAfterClose,func:testTextUpdatePerformance,func:testPartialUpdatePerformance,func:testFinalUpdatePerformance,func:testLevelUpdatePerformance,func:testCombinedUpdatePerformance
MacTalk/MacTalkTests/TranscriptionControllerTests.swift	Tests	Swift	28782	868	AVFoundation,XCTest	class:TranscriptionControllerTests,func:testInitialization,func:testInitializationSetsDefaultValues,func:testCleanTranscriptRemovesDuplicateSpaces,func:testCleanTranscriptTrimsWhitespace,func:testCleanTranscriptCapitalizesFirstLetter,func:testCleanTranscriptAddsPunctuation,func:testModeEnum,func:testModeComparison,func:testOnPartialCallback,func:testOnFinalCallback,func:testOnMicLevelCallback,func:testOnAppLevelCallback,func:testLanguageProperty,func:testAutoPasteEnabledProperty,func:testConcurrentCallbackInvocations,func:testConcurrentPropertyAccess,func:testControllerDeinitialization,func:testCallbackMemoryManagement,func:testMultipleControllerInstances,func:testIndependentControllerState,func:testCallbackInvocationPerformance,func:testPropertyAccessPerformance,func:testEmptyLanguageString,func:testVeryLongLanguageString,func:testRapidCallbackChanges,func:testCallbackWithLongText,func:testCallbackWithSpecialCharacters
MacTalk/MacTalkTests/HotkeyManagerTests.swift	Tests	Swift	12561	463	Carbon,XCTest	class:HotkeyManagerTests,func:testInitialization,func:testRegisterHotkey,func:testRegisterDefaultHotkey,func:testRegisterMultipleModifiers,func:testRegisterDifferentKeyCodes,func:testUnregister,func:testUnregisterWithoutRegistering,func:testMultipleUnregistrations,func:testCallbackInvocation,func:testMultipleCallbacks,func:testCallbackWithWeakReference,func:testReregister,func:testRegisterDifferentHotkey,func:testIsRegisteredProperty,func:testMemoryLeakOnRegistration,func:testMemoryLeakWithCallback,func:testRegisterWithZeroKeyCode,func:testRegisterWithNoModifiers,func:testRegisterWithInvalidKeyCode,func:testMultipleInstances,func:testConflictingHotkeys,func:testCompleteLifecycle,func:testRegistrationPerformance,func:testUnregistrationPerformance,func:testConcurrentRegistration
